=== GPU Monitoring Started === 
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/22 13:23:20.532, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 13.39 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:20.553, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 17.20 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:20.572, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 7.83 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:20.591, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.85 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:25.609, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 13.67 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:25.623, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.86 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:25.636, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 7.65 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:25.649, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.85 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:30.662, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 28, 41.01 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/22 13:23:30.673, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.84 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:30.686, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 7.50 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:30.700, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.01 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:35.713, NVIDIA GeForce RTX 2070 SUPER, 0, 66 %, 47 %, 8192 MiB, 552 MiB, 7238 MiB, 34, 122.12 W, 215.00 W, 20 %, 1965 MHz, 6801 MHz, P2
2025/07/22 13:23:35.721, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.25 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:35.734, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 7.71 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:35.747, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.33 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:40.760, NVIDIA GeForce RTX 2070 SUPER, 0, 67 %, 48 %, 8192 MiB, 552 MiB, 7238 MiB, 36, 126.57 W, 215.00 W, 20 %, 1965 MHz, 6801 MHz, P2
2025/07/22 13:23:40.768, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.17 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:40.781, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 7.65 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:40.794, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.26 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:45.807, NVIDIA GeForce RTX 2070 SUPER, 0, 68 %, 49 %, 8192 MiB, 552 MiB, 7238 MiB, 38, 129.05 W, 215.00 W, 20 %, 1965 MHz, 6801 MHz, P2
2025/07/22 13:23:45.815, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 15.99 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:45.828, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 7.73 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:45.842, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.21 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:50.855, NVIDIA GeForce RTX 2070 SUPER, 0, 69 %, 50 %, 8192 MiB, 552 MiB, 7238 MiB, 40, 120.41 W, 215.00 W, 21 %, 1950 MHz, 6801 MHz, P2
2025/07/22 13:23:50.864, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.09 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 13:23:50.877, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 7.73 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
