=== GPU Monitoring Started === 
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/22 09:47:38.736, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 14.89 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:38.756, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 17.09 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:38.776, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.81 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:38.794, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 31, 12.12 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:43.813, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 14.20 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:43.827, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 17.11 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:43.840, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.70 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:43.853, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 31, 12.11 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:48.866, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 108 MiB, 7682 MiB, 29, 41.27 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/22 09:47:48.872, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 17.02 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:48.886, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.56 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:48.900, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 31, 12.12 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:53.914, NVIDIA GeForce RTX 2070 SUPER, 0, 97 %, 78 %, 8192 MiB, 2060 MiB, 5730 MiB, 38, 163.98 W, 215.00 W, 20 %, 1965 MHz, 6801 MHz, P2
2025/07/22 09:47:53.923, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 16.31 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:53.936, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.80 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:53.949, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 31, 11.91 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:58.962, NVIDIA GeForce RTX 2070 SUPER, 0, 98 %, 79 %, 8192 MiB, 2060 MiB, 5730 MiB, 41, 160.43 W, 215.00 W, 21 %, 1950 MHz, 6801 MHz, P2
2025/07/22 09:47:58.972, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 16.32 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:58.986, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.62 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:58.999, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 31, 12.06 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:48:04.012, NVIDIA GeForce RTX 2070 SUPER, 0, 97 %, 78 %, 8192 MiB, 2060 MiB, 5730 MiB, 44, 168.43 W, 215.00 W, 22 %, 1950 MHz, 6801 MHz, P2
2025/07/22 09:48:04.021, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 16.58 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:48:04.034, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.77 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:48:04.047, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 31, 12.21 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:48:09.060, NVIDIA GeForce RTX 2070 SUPER, 0, 97 %, 78 %, 8192 MiB, 2060 MiB, 5730 MiB, 46, 160.69 W, 215.00 W, 23 %, 1950 MHz, 6801 MHz, P2
2025/07/22 09:48:09.067, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 16.47 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:48:09.080, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.89 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:48:09.093, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 31, 12.21 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:48:14.106, NVIDIA GeForce RTX 2070 SUPER, 0, 97 %, 78 %, 8192 MiB, 2060 MiB, 5730 MiB, 48, 170.28 W, 215.00 W, 24 %, 1950 MHz, 6801 MHz, P2
2025/07/22 09:48:14.114, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 16.27 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:48:14.130, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.58 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:48:14.143, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 31, 12.66 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:48:19.156, NVIDIA GeForce RTX 2070 SUPER, 0, 97 %, 78 %, 8192 MiB, 2060 MiB, 5730 MiB, 50, 165.38 W, 215.00 W, 25 %, 1935 MHz, 6801 MHz, P2
