=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/15 15:45:42.391, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 18.25 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:42.412, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 9.10 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:42.431, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 4.64 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:42.447, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 32, 14.46 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.465, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 18.10 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.479, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 8.64 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.492, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 4.34 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.504, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 32, 14.38 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:52.516, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 28, 45.95 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/15 15:45:52.522, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 8.72 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:52.536, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 4.73 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:52.548, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 32, 14.38 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
