=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/15 15:45:42.398, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 6.99 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:42.418, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.27 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:42.438, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.49 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:42.456, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 32, 21.37 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.474, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 7.00 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.488, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 11.92 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.502, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.40 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.515, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 32, 21.39 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:52.527, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 126 MiB, 7664 MiB, 28, 32.36 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/15 15:45:52.533, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 11.73 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:52.547, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.38 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:52.560, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 32, 21.38 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:57.572, NVIDIA GeForce RTX 2070 SUPER, 0, 27 %, 11 %, 8192 MiB, 298 MiB, 7492 MiB, 29, 40.12 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/15 15:45:57.579, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 11.92 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:57.593, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.15 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:57.606, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 32, 21.31 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:02.618, NVIDIA GeForce RTX 2070 SUPER, 0, 22 %, 3 %, 8192 MiB, 300 MiB, 7490 MiB, 30, 34.34 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/15 15:46:02.625, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.04 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:02.638, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.28 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:02.651, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 32, 21.64 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
