=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/15 15:45:42.403, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 9.57 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:42.423, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 13.14 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:42.443, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 8.02 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:42.460, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.12 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.478, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 9.45 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.492, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.59 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.505, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.65 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.518, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.30 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:52.531, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 28, 39.45 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/15 15:45:52.539, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.60 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:52.552, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.64 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:52.565, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.25 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:57.579, NVIDIA GeForce RTX 2070 SUPER, 0, 95 %, 25 %, 8192 MiB, 292 MiB, 7498 MiB, 37, 175.91 W, 215.00 W, 20 %, 1980 MHz, 6801 MHz, P2
2025/07/15 15:45:57.586, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.34 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:57.600, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.47 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
