=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/15 15:45:42.462, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 25, 8.93 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:42.482, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 7.92 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:42.502, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 16.38 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:42.519, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.64 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.537, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 25, 8.52 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.551, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 7.78 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.564, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 16.26 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.576, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.64 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:52.588, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 27, 34.69 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/15 15:45:52.594, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 7.98 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:52.608, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 16.14 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:52.620, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.65 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:57.633, NVIDIA GeForce RTX 2070 SUPER, 0, 95 %, 11 %, 8192 MiB, 374 MiB, 7416 MiB, 34, 127.18 W, 215.00 W, 20 %, 1995 MHz, 6801 MHz, P2
2025/07/15 15:45:57.640, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 7.94 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:57.653, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.35 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:57.666, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.60 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:02.678, NVIDIA GeForce RTX 2070 SUPER, 0, 96 %, 11 %, 8192 MiB, 374 MiB, 7416 MiB, 36, 128.04 W, 215.00 W, 20 %, 1995 MHz, 6801 MHz, P2
2025/07/15 15:46:02.684, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 8.08 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:02.697, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.74 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:02.709, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.60 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:07.722, NVIDIA GeForce RTX 2070 SUPER, 0, 95 %, 11 %, 8192 MiB, 374 MiB, 7416 MiB, 39, 133.09 W, 215.00 W, 20 %, 1995 MHz, 6801 MHz, P2
2025/07/15 15:46:07.728, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 7.99 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:07.741, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.69 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:07.753, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.62 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:12.765, NVIDIA GeForce RTX 2070 SUPER, 0, 95 %, 11 %, 8192 MiB, 374 MiB, 7416 MiB, 41, 132.77 W, 215.00 W, 21 %, 1995 MHz, 6801 MHz, P2
2025/07/15 15:46:12.772, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 7.89 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:12.785, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.77 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:12.797, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.60 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:17.809, NVIDIA GeForce RTX 2070 SUPER, 0, 72 %, 6 %, 8192 MiB, 374 MiB, 7416 MiB, 41, 110.60 W, 215.00 W, 21 %, 1995 MHz, 6801 MHz, P2
2025/07/15 15:46:17.815, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 7.88 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:17.828, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.82 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:17.841, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.55 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:22.853, NVIDIA GeForce RTX 2070 SUPER, 0, 72 %, 6 %, 8192 MiB, 374 MiB, 7416 MiB, 42, 112.96 W, 215.00 W, 22 %, 1980 MHz, 6801 MHz, P2
2025/07/15 15:46:22.910, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 7.99 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:22.923, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.58 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:22.935, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.52 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:27.947, NVIDIA GeForce RTX 2070 SUPER, 0, 95 %, 11 %, 8192 MiB, 374 MiB, 7416 MiB, 45, 131.61 W, 215.00 W, 23 %, 1980 MHz, 6801 MHz, P2
2025/07/15 15:46:27.953, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 7.84 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:27.967, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.86 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:27.979, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.56 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:32.991, NVIDIA GeForce RTX 2070 SUPER, 0, 95 %, 11 %, 8192 MiB, 374 MiB, 7416 MiB, 46, 131.43 W, 215.00 W, 23 %, 1980 MHz, 6801 MHz, P2
2025/07/15 15:46:32.998, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 8.15 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:33.011, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.71 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:33.023, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.56 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:38.036, NVIDIA GeForce RTX 2070 SUPER, 0, 95 %, 11 %, 8192 MiB, 374 MiB, 7416 MiB, 48, 130.33 W, 215.00 W, 24 %, 1965 MHz, 6801 MHz, P2
2025/07/15 15:46:38.042, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 7.81 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:38.055, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.84 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:38.067, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.57 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:43.079, NVIDIA GeForce RTX 2070 SUPER, 0, 95 %, 11 %, 8192 MiB, 374 MiB, 7416 MiB, 49, 132.58 W, 215.00 W, 24 %, 1965 MHz, 6801 MHz, P2
2025/07/15 15:46:43.086, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 8.12 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:43.099, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.65 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:43.111, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.59 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:48.124, NVIDIA GeForce RTX 2070 SUPER, 0, 14 %, 1 %, 8192 MiB, 374 MiB, 7416 MiB, 48, 101.25 W, 215.00 W, 25 %, 1965 MHz, 6801 MHz, P2
2025/07/15 15:46:48.129, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 8.28 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:48.142, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.74 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:48.154, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.57 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:53.166, NVIDIA GeForce RTX 2070 SUPER, 0, 69 %, 5 %, 8192 MiB, 374 MiB, 7416 MiB, 49, 113.24 W, 215.00 W, 25 %, 1965 MHz, 6801 MHz, P2
2025/07/15 15:46:53.172, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 8.11 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:53.185, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.51 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:53.197, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.55 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:58.209, NVIDIA GeForce RTX 2070 SUPER, 0, 90 %, 10 %, 8192 MiB, 374 MiB, 7416 MiB, 51, 131.67 W, 215.00 W, 26 %, 1965 MHz, 6801 MHz, P2
2025/07/15 15:46:58.216, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 7.94 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:58.229, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.73 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:58.241, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.57 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:03.253, NVIDIA GeForce RTX 2070 SUPER, 0, 95 %, 11 %, 8192 MiB, 374 MiB, 7416 MiB, 52, 132.09 W, 215.00 W, 25 %, 1965 MHz, 6801 MHz, P2
2025/07/15 15:47:03.259, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 7.86 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:03.272, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.98 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:03.285, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.58 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:08.297, NVIDIA GeForce RTX 2070 SUPER, 0, 95 %, 11 %, 8192 MiB, 374 MiB, 7416 MiB, 53, 135.88 W, 215.00 W, 26 %, 1965 MHz, 6801 MHz, P2
2025/07/15 15:47:08.303, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 7.91 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:08.316, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.65 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:08.328, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.58 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:13.340, NVIDIA GeForce RTX 2070 SUPER, 0, 95 %, 11 %, 8192 MiB, 374 MiB, 7416 MiB, 55, 136.80 W, 215.00 W, 26 %, 1965 MHz, 6801 MHz, P2
2025/07/15 15:47:13.347, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 8.07 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:13.360, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.77 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:13.372, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.59 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:18.384, NVIDIA GeForce RTX 2070 SUPER, 0, 25 %, 2 %, 8192 MiB, 374 MiB, 7416 MiB, 53, 103.31 W, 215.00 W, 28 %, 1965 MHz, 6801 MHz, P2
2025/07/15 15:47:18.391, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 7.95 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:18.403, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.35 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:18.416, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.60 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:23.428, NVIDIA GeForce RTX 2070 SUPER, 0, 58 %, 5 %, 8192 MiB, 374 MiB, 7416 MiB, 53, 105.79 W, 215.00 W, 27 %, 1965 MHz, 6801 MHz, P2
2025/07/15 15:47:23.435, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 8.15 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:23.448, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.25 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:23.460, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.60 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:28.472, NVIDIA GeForce RTX 2070 SUPER, 0, 72 %, 6 %, 8192 MiB, 374 MiB, 7416 MiB, 54, 120.20 W, 215.00 W, 27 %, 1965 MHz, 6801 MHz, P2
2025/07/15 15:47:28.478, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 8.03 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:28.491, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.38 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:28.503, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.55 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:33.516, NVIDIA GeForce RTX 2070 SUPER, 0, 95 %, 11 %, 8192 MiB, 374 MiB, 7416 MiB, 56, 139.44 W, 215.00 W, 27 %, 1965 MHz, 6801 MHz, P2
2025/07/15 15:47:33.522, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 7.82 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:33.535, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.40 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:33.547, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.57 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:38.560, NVIDIA GeForce RTX 2070 SUPER, 0, 95 %, 11 %, 8192 MiB, 374 MiB, 7416 MiB, 57, 139.89 W, 215.00 W, 27 %, 1965 MHz, 6801 MHz, P2
2025/07/15 15:47:38.566, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 7.89 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:47:38.579, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 15.86 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
