=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/21 13:00:05.978, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 14.03 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:05.998, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 16.81 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:06.018, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.78 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:06.036, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 31, 12.41 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:11.055, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 13.83 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:11.069, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 16.72 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:11.082, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.71 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:11.095, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.61 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:16.108, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 126 MiB, 7664 MiB, 28, 41.18 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/21 13:00:16.116, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 16.83 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:16.130, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.79 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:16.143, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.71 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:21.158, NVIDIA GeForce RTX 2070 SUPER, 0, 58 %, 7 %, 8192 MiB, 220 MiB, 7570 MiB, 33, 91.58 W, 215.00 W, 20 %, 1965 MHz, 6801 MHz, P2
2025/07/21 13:00:21.163, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 16.00 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:21.177, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.59 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:21.190, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.93 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:26.203, NVIDIA GeForce RTX 2070 SUPER, 0, 62 %, 7 %, 8192 MiB, 220 MiB, 7570 MiB, 35, 94.41 W, 215.00 W, 20 %, 1965 MHz, 6801 MHz, P2
2025/07/21 13:00:26.223, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 16.25 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:26.237, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.77 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:26.250, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.86 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:31.263, NVIDIA GeForce RTX 2070 SUPER, 0, 28 %, 2 %, 8192 MiB, 228 MiB, 7562 MiB, 35, 79.94 W, 215.00 W, 20 %, 1965 MHz, 6801 MHz, P2
2025/07/21 13:00:31.269, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 16.35 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:31.282, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.82 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:31.295, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.96 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:36.308, NVIDIA GeForce RTX 2070 SUPER, 0, 24 %, 1 %, 8192 MiB, 228 MiB, 7562 MiB, 37, 94.02 W, 215.00 W, 20 %, 1965 MHz, 6801 MHz, P2
2025/07/21 13:00:36.313, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 16.17 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:36.327, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.69 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:36.340, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.57 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:41.354, NVIDIA GeForce RTX 2070 SUPER, 0, 60 %, 7 %, 8192 MiB, 228 MiB, 7562 MiB, 38, 94.67 W, 215.00 W, 20 %, 1965 MHz, 6801 MHz, P2
2025/07/21 13:00:41.359, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 16.26 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:41.373, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.75 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:41.386, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 31, 12.55 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:46.399, NVIDIA GeForce RTX 2070 SUPER, 0, 15 %, 2 %, 8192 MiB, 228 MiB, 7562 MiB, 38, 71.50 W, 215.00 W, 21 %, 1950 MHz, 6801 MHz, P2
2025/07/21 13:00:46.405, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 16.35 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
