=== GPU Monitoring Started === 
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/22 11:21:09.530, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 13.21 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:09.550, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 17.68 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:09.570, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.72 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:09.588, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.86 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:14.606, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 13.57 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:14.620, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.78 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:14.634, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.57 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:14.646, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.31 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:19.659, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 28, 41.01 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/22 11:21:19.665, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.76 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
