=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/15 15:45:42.401, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 13.82 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:42.421, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 17.27 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:42.441, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.75 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:42.460, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 31, 11.73 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.478, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 13.57 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.492, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 16.90 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.506, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.53 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.519, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 31, 11.94 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:52.532, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 28, 41.04 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/15 15:45:52.538, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 16.96 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:52.552, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.58 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:52.566, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 31, 11.94 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
