=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/15 15:45:42.353, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 9.78 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:42.373, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.20 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:42.393, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.19 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:42.411, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.24 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.429, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 9.56 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.443, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.13 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.456, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 9.96 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:47.468, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 12.94 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:52.481, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 29, 40.22 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/15 15:45:52.486, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.03 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:52.500, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.48 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:52.513, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.20 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:57.526, NVIDIA GeForce RTX 2070 SUPER, 0, 21 %, 5 %, 8192 MiB, 212 MiB, 7578 MiB, 30, 40.18 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/15 15:45:57.533, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.04 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:57.546, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.57 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:45:57.558, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.43 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:02.571, NVIDIA GeForce RTX 2070 SUPER, 0, 30 %, 3 %, 8192 MiB, 212 MiB, 7578 MiB, 31, 40.16 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/15 15:46:02.577, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.11 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:02.590, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 9.49 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:02.603, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.44 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:07.615, NVIDIA GeForce RTX 2070 SUPER, 0, 18 %, 5 %, 8192 MiB, 212 MiB, 7578 MiB, 31, 40.60 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/15 15:46:07.621, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.04 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:07.635, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 9.94 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:07.647, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.17 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:12.659, NVIDIA GeForce RTX 2070 SUPER, 0, 21 %, 2 %, 8192 MiB, 212 MiB, 7578 MiB, 32, 43.42 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/15 15:46:12.666, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 6.96 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:12.678, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.12 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:12.691, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.14 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:17.703, NVIDIA GeForce RTX 2070 SUPER, 0, 22 %, 6 %, 8192 MiB, 212 MiB, 7578 MiB, 32, 48.54 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/15 15:46:17.710, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 6.89 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:17.723, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.26 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:17.735, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.03 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/15 15:46:22.747, NVIDIA GeForce RTX 2070 SUPER, 0, 5 %, 1 %, 8192 MiB, 212 MiB, 7578 MiB, 33, 43.04 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
