=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/21 13:00:05.711, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 25, 17.97 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:05.731, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 8.63 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:05.751, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 4.66 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:05.768, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 30, 13.75 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:10.785, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 25, 18.03 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:10.799, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 8.77 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:10.812, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 4.75 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:10.824, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 30, 13.91 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:15.836, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 126 MiB, 7664 MiB, 27, 44.95 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/21 13:00:15.842, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 8.85 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:15.856, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 4.71 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
