=== GPU Monitoring Started === 
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/22 10:24:08.280, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 14.19 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 10:24:08.301, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 17.54 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 10:24:08.320, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 8.00 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 10:24:08.339, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.81 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 10:24:13.357, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 14.18 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 10:24:13.371, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.97 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 10:24:13.384, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 7.57 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 10:24:13.397, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.31 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 10:24:18.410, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 126 MiB, 7664 MiB, 28, 41.11 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/22 10:24:18.416, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.95 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
