=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/21 13:00:05.718, NVIDIA GeForce RTX 2070 SUPER, 0, 99 %, 84 %, 8192 MiB, 4064 MiB, 3726 MiB, 76, 173.88 W, 215.00 W, 36 %, 1905 MHz, 6801 MHz, P2
2025/07/21 13:00:05.732, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 13.83 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:05.751, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 8.19 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:05.769, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.38 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:10.786, NVIDIA GeForce RTX 2070 SUPER, 0, 98 %, 84 %, 8192 MiB, 4064 MiB, 3726 MiB, 76, 176.99 W, 215.00 W, 36 %, 1905 MHz, 6801 MHz, P2
2025/07/21 13:00:10.800, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 13.82 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:10.812, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.71 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:10.825, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.13 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:15.838, NVIDIA GeForce RTX 2070 SUPER, 0, 99 %, 82 %, 8192 MiB, 4186 MiB, 3604 MiB, 76, 182.13 W, 215.00 W, 36 %, 1905 MHz, 6801 MHz, P2
2025/07/21 13:00:15.848, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 13.96 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:15.862, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.65 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:15.874, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.29 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:20.887, NVIDIA GeForce RTX 2070 SUPER, 0, 99 %, 68 %, 8192 MiB, 4320 MiB, 3470 MiB, 76, 177.87 W, 215.00 W, 36 %, 1905 MHz, 6801 MHz, P2
2025/07/21 13:00:20.894, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 13.22 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:20.907, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.69 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:20.919, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.65 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:25.932, NVIDIA GeForce RTX 2070 SUPER, 0, 98 %, 56 %, 8192 MiB, 4320 MiB, 3470 MiB, 76, 172.11 W, 215.00 W, 36 %, 1905 MHz, 6801 MHz, P2
