=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/21 13:00:05.929, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 10.23 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:05.950, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 7.36 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:05.969, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 10.37 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:05.986, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 32, 13.26 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:11.004, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 10.24 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:11.018, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 7.23 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:11.031, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 9.82 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:11.043, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 32, 13.22 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:16.056, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 28, 39.99 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/21 13:00:16.062, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 7.23 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/21 13:00:16.075, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 9.71 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
