=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/16 10:40:46.555, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 18.00 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:46.576, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 9.38 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:46.595, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 4.73 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:46.611, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 31, 14.33 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:51.628, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 18.03 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:51.642, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 9.04 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:51.655, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 4.49 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:51.667, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 31, 13.93 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:56.680, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 27, 45.48 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/16 10:40:56.687, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 9.27 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:56.700, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 4.72 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:56.713, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 31, 14.25 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:41:01.725, NVIDIA GeForce RTX 2070 SUPER, 0, 58 %, 36 %, 8192 MiB, 438 MiB, 7352 MiB, 32, 102.66 W, 215.00 W, 20 %, 2010 MHz, 6801 MHz, P2
2025/07/16 10:41:01.732, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 9.84 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:41:01.746, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 5.92 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:41:01.758, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 31, 14.06 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:41:06.770, NVIDIA GeForce RTX 2070 SUPER, 0, 59 %, 37 %, 8192 MiB, 750 MiB, 7040 MiB, 33, 104.36 W, 215.00 W, 20 %, 2010 MHz, 6801 MHz, P2
2025/07/16 10:41:06.777, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 9.85 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:41:06.791, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 5.61 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:41:06.803, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 31, 14.13 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:41:11.816, NVIDIA GeForce RTX 2070 SUPER, 0, 55 %, 34 %, 8192 MiB, 488 MiB, 7302 MiB, 35, 105.70 W, 215.00 W, 20 %, 2010 MHz, 6801 MHz, P2
2025/07/16 10:41:11.822, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 9.75 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:41:11.836, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 5.95 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:41:11.849, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 31, 14.55 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:41:16.862, NVIDIA GeForce RTX 2070 SUPER, 0, 56 %, 35 %, 8192 MiB, 1430 MiB, 6360 MiB, 36, 109.22 W, 215.00 W, 20 %, 2010 MHz, 6801 MHz, P2
2025/07/16 10:41:16.873, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 9.75 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:41:16.886, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 6.20 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:41:16.898, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 31, 14.21 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
