=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/16 10:40:46.569, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 8.73 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:46.590, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.90 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:46.610, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 7.87 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:46.628, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 12.89 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:51.647, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 8.68 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:51.661, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.26 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:51.674, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 7.64 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:51.687, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.12 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:56.700, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 28, 38.97 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/16 10:40:56.706, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.85 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:56.720, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 7.66 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:56.733, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.39 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:41:01.746, NVIDIA GeForce RTX 2070 SUPER, 0, 95 %, 23 %, 8192 MiB, 274 MiB, 7516 MiB, 37, 180.69 W, 215.00 W, 20 %, 1995 MHz, 6801 MHz, P2
2025/07/16 10:41:01.753, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.47 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:41:01.766, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 7.55 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:41:01.779, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.38 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:41:06.792, NVIDIA GeForce RTX 2070 SUPER, 0, 95 %, 23 %, 8192 MiB, 274 MiB, 7516 MiB, 40, 179.63 W, 215.00 W, 21 %, 1980 MHz, 6801 MHz, P2
2025/07/16 10:41:06.799, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 12.60 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:41:06.812, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 7.41 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:41:06.825, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.09 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:41:11.838, NVIDIA GeForce RTX 2070 SUPER, 0, 95 %, 23 %, 8192 MiB, 274 MiB, 7516 MiB, 43, 181.88 W, 215.00 W, 22 %, 1980 MHz, 6801 MHz, P2
