=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/16 10:40:46.648, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 25, 8.90 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:46.669, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 8.14 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:46.688, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 25, 16.08 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:46.706, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.63 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:51.723, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 25, 8.81 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:51.738, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 7.87 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:51.751, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 25, 16.19 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:51.763, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 29, 10.63 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:56.775, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 26, 34.85 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/16 10:40:56.781, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 7.95 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
