=== GPU Monitoring Started === 
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/22 09:47:38.716, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 2 MiB, 7789 MiB, 26, 9.79 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:38.736, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 2 MiB, 7789 MiB, 28, 7.13 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:38.756, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 2 MiB, 7789 MiB, 29, 10.33 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:38.774, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 2 MiB, 7787 MiB, 31, 12.82 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:43.793, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 2 MiB, 7789 MiB, 26, 9.89 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:43.807, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 2 MiB, 7789 MiB, 28, 7.12 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:43.820, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 2 MiB, 7789 MiB, 29, 10.45 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:43.833, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 2 MiB, 7787 MiB, 32, 13.34 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:48.846, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 2 MiB, 7789 MiB, 26, 9.87 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:48.860, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 2 MiB, 7789 MiB, 28, 7.15 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
