=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/16 10:40:46.546, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 9.84 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:46.567, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.14 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:46.587, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 9.70 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:46.605, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.05 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:51.623, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 10.10 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:51.638, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.14 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:51.651, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.12 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:51.663, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 12.99 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 10:40:56.676, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 29, 39.74 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/16 10:40:56.682, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.12 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
