=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/16 12:24:55.268, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 24, 9.39 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:24:55.288, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 7.86 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:24:55.308, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 25, 16.07 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:24:55.325, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 28, 10.63 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:00.343, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 24, 8.85 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:00.357, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 7.75 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:00.370, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 25, 15.99 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:00.382, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 28, 10.63 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:05.394, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 26, 35.52 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/16 12:25:05.402, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 7.88 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
