=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/16 12:24:55.273, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 25, 16.37 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:24:55.294, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.15 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:24:55.313, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 11.06 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:24:55.331, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7785 MiB, 30, 15.57 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:00.350, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 25, 16.43 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:00.364, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.03 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:00.377, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 10.43 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:00.390, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7785 MiB, 30, 15.17 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:05.403, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 26, 42.05 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/16 12:25:05.409, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.35 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:05.423, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 11.29 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:05.437, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7785 MiB, 30, 15.78 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:10.450, NVIDIA GeForce RTX 2070 SUPER, 0, 18 %, 9 %, 8192 MiB, 470 MiB, 7320 MiB, 28, 54.54 W, 215.00 W, 20 %, 1995 MHz, 6801 MHz, P2
2025/07/16 12:25:10.456, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 10.90 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:10.469, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 11.07 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:10.482, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7785 MiB, 30, 15.62 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:15.495, NVIDIA GeForce RTX 2070 SUPER, 0, 18 %, 9 %, 8192 MiB, 470 MiB, 7320 MiB, 30, 69.70 W, 215.00 W, 20 %, 1995 MHz, 6801 MHz, P2
2025/07/16 12:25:15.500, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.00 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:15.513, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 10.77 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:15.526, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7785 MiB, 30, 15.21 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:20.539, NVIDIA GeForce RTX 2070 SUPER, 0, 6 %, 3 %, 8192 MiB, 470 MiB, 7320 MiB, 32, 97.73 W, 215.00 W, 20 %, 1995 MHz, 6801 MHz, P2
2025/07/16 12:25:20.545, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 10.95 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:20.558, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 11.34 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:20.571, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7785 MiB, 29, 15.34 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:25.583, NVIDIA GeForce RTX 2070 SUPER, 0, 14 %, 10 %, 8192 MiB, 470 MiB, 7320 MiB, 31, 55.36 W, 215.00 W, 20 %, 1995 MHz, 6801 MHz, P2
2025/07/16 12:25:25.588, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.46 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:25.601, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 11.18 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:25.614, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7785 MiB, 30, 15.19 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:30.628, NVIDIA GeForce RTX 2070 SUPER, 0, 45 %, 32 %, 8192 MiB, 470 MiB, 7320 MiB, 32, 55.44 W, 215.00 W, 20 %, 1995 MHz, 6801 MHz, P2
2025/07/16 12:25:30.633, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.51 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:30.647, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 11.45 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
