=== GPU Monitoring Started === 
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/22 09:47:38.495, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 25, 18.04 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:38.515, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 8.68 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:38.534, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 4.53 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:38.551, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 30, 13.18 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:43.567, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 25, 18.32 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:43.581, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 8.75 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:43.594, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 4.03 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:43.605, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 30, 13.24 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:48.617, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 108 MiB, 7682 MiB, 27, 45.21 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/22 09:47:48.624, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 8.60 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:48.637, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 4.45 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 09:47:48.649, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 30, 13.75 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
