=== GPU Monitoring Started === 
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/22 11:21:09.335, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 18.03 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:09.355, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 8.85 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:09.373, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 4.51 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:09.390, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 31, 13.78 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:14.407, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 18.01 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:14.421, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 8.47 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:14.433, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 4.47 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:14.444, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 31, 13.77 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:19.456, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 27, 44.80 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/22 11:21:19.462, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 8.68 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:19.475, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 4.33 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:19.487, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 31, 13.90 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:24.499, NVIDIA GeForce RTX 2070 SUPER, 0, 5 %, 2 %, 8192 MiB, 492 MiB, 7298 MiB, 30, 62.79 W, 215.00 W, 20 %, 2010 MHz, 6801 MHz, P2
