=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/16 12:24:55.433, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 14.15 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:24:55.454, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 17.15 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:24:55.475, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.64 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:24:55.493, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.95 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:00.512, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 13.91 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:00.527, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.94 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:00.540, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.63 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:00.553, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.77 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:05.566, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 14 MiB, 7776 MiB, 27, 16.83 W, 215.00 W, 20 %, 1380 MHz, 7000 MHz, P0
2025/07/16 12:25:05.583, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 17.23 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:05.598, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.73 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:05.613, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.02 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:10.630, NVIDIA GeForce RTX 2070 SUPER, 0, 9 %, 2 %, 8192 MiB, 242 MiB, 7548 MiB, 29, 41.14 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/16 12:25:10.636, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 17.11 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:10.650, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.59 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:10.663, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.51 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:15.676, NVIDIA GeForce RTX 2070 SUPER, 0, 11 %, 2 %, 8192 MiB, 242 MiB, 7548 MiB, 30, 47.61 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/16 12:25:15.683, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.83 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:15.696, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.54 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:15.709, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.36 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:20.722, NVIDIA GeForce RTX 2070 SUPER, 0, 3 %, 0 %, 8192 MiB, 242 MiB, 7548 MiB, 30, 42.33 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/16 12:25:20.729, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.68 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:20.742, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.80 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:20.755, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.35 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:25.768, NVIDIA GeForce RTX 2070 SUPER, 0, 12 %, 3 %, 8192 MiB, 242 MiB, 7548 MiB, 31, 47.82 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/16 12:25:25.775, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.70 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
