=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/16 12:24:55.435, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 6192 MiB, 1598 MiB, 32, 9.84 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:24:55.453, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 4 MiB, 7786 MiB, 29, 7.30 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:24:55.473, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 4 MiB, 7786 MiB, 30, 10.02 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:24:55.491, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 4 MiB, 7784 MiB, 33, 13.10 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:00.510, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 6192 MiB, 1598 MiB, 32, 10.12 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:00.521, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 4 MiB, 7786 MiB, 29, 7.29 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:00.534, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 4 MiB, 7786 MiB, 30, 9.70 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:00.547, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 4 MiB, 7784 MiB, 33, 13.51 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:25:05.560, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 6294 MiB, 1496 MiB, 33, 40.25 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/16 12:25:05.566, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 4 MiB, 7786 MiB, 29, 7.22 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
