=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/16 12:31:59.850, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 18.16 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:31:59.871, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 9.26 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:31:59.890, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 4.42 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:31:59.906, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 31, 14.16 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:04.923, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 17.98 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:04.938, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 8.78 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:04.951, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 4.51 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:04.962, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 31, 13.85 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:09.974, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 29, 45.51 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/16 12:32:09.980, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 8.77 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:09.994, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 4.62 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:10.006, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 31, 13.77 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:15.019, NVIDIA GeForce RTX 2070 SUPER, 0, 21 %, 12 %, 8192 MiB, 464 MiB, 7326 MiB, 32, 103.82 W, 215.00 W, 20 %, 2010 MHz, 6801 MHz, P2
2025/07/16 12:32:15.026, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 9.62 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:15.040, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 5.42 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
