=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/16 12:31:59.667, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 25, 16.53 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:31:59.688, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.15 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:31:59.707, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 10.55 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:31:59.725, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7785 MiB, 30, 15.56 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:04.743, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 25, 16.26 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:04.757, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.25 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:04.770, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 10.75 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:04.783, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7785 MiB, 30, 15.44 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:09.796, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 26, 42.87 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/16 12:32:09.802, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.53 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:09.816, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 11.02 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:09.830, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7785 MiB, 30, 15.32 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:14.843, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 470 MiB, 7320 MiB, 30, 110.71 W, 215.00 W, 20 %, 1995 MHz, 6801 MHz, P2
2025/07/16 12:32:14.852, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.45 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:14.865, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 11.39 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:14.878, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7785 MiB, 30, 15.13 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:19.891, NVIDIA GeForce RTX 2070 SUPER, 0, 69 %, 50 %, 8192 MiB, 470 MiB, 7320 MiB, 33, 126.79 W, 215.00 W, 20 %, 1995 MHz, 6801 MHz, P2
2025/07/16 12:32:19.898, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.54 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:19.911, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 11.03 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:19.924, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7785 MiB, 30, 15.14 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
