=== GPU Monitoring Started === 
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/22 11:21:09.313, NVIDIA GeForce RTX 2070 SUPER, 0, 97 %, 76 %, 8192 MiB, 1920 MiB, 5870 MiB, 70, 154.85 W, 215.00 W, 33 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:09.324, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 36, 13.44 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:09.343, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.23 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:09.361, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 34, 22.86 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:14.383, NVIDIA GeForce RTX 2070 SUPER, 0, 96 %, 75 %, 8192 MiB, 1920 MiB, 5870 MiB, 70, 151.70 W, 215.00 W, 33 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:14.392, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 36, 13.04 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:14.405, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.07 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:14.417, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 34, 23.09 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:19.432, NVIDIA GeForce RTX 2070 SUPER, 0, 96 %, 75 %, 8192 MiB, 2022 MiB, 5768 MiB, 70, 151.11 W, 215.00 W, 33 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:19.441, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 36, 13.65 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:19.455, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.22 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:19.468, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 34, 22.99 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:24.481, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 75 %, 8192 MiB, 2406 MiB, 5384 MiB, 71, 166.26 W, 215.00 W, 33 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:24.490, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 36, 13.69 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:24.502, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.00 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:24.515, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 34, 23.18 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:29.527, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 75 %, 8192 MiB, 2406 MiB, 5384 MiB, 72, 163.59 W, 215.00 W, 33 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:29.535, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 36, 12.99 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:29.548, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.22 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:29.561, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 34, 23.07 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:34.574, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 72 %, 8192 MiB, 2406 MiB, 5384 MiB, 72, 161.70 W, 215.00 W, 33 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:34.581, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 36, 13.01 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:34.594, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.96 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:34.607, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 34, 22.98 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:39.622, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 72 %, 8192 MiB, 2406 MiB, 5384 MiB, 72, 164.70 W, 215.00 W, 33 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:39.634, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 36, 13.32 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:39.646, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.15 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:39.659, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 34, 23.09 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:44.674, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 75 %, 8192 MiB, 2406 MiB, 5384 MiB, 73, 168.43 W, 215.00 W, 34 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:44.681, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 36, 13.45 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:44.694, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.18 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:44.707, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 34, 23.02 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:49.721, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 75 %, 8192 MiB, 2406 MiB, 5384 MiB, 73, 166.24 W, 215.00 W, 34 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:49.730, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 36, 13.36 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:49.743, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.04 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:49.755, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 34, 23.09 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:54.769, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 75 %, 8192 MiB, 2406 MiB, 5384 MiB, 73, 167.09 W, 215.00 W, 34 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:54.777, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 36, 13.20 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:54.790, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.37 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:54.802, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 34, 23.12 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:59.814, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 75 %, 8192 MiB, 2406 MiB, 5384 MiB, 74, 166.13 W, 215.00 W, 34 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:59.822, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 36, 13.42 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:59.835, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.26 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:59.848, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 34, 23.15 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:04.860, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 72 %, 8192 MiB, 2406 MiB, 5384 MiB, 74, 165.77 W, 215.00 W, 34 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:22:04.870, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 36, 13.48 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:04.883, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.32 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:04.896, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 34, 23.31 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:09.909, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 72 %, 8192 MiB, 2406 MiB, 5384 MiB, 74, 163.43 W, 215.00 W, 34 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:22:09.917, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 36, 13.47 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:09.930, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.27 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:09.942, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 34, 23.02 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:14.956, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 72 %, 8192 MiB, 2406 MiB, 5384 MiB, 74, 162.63 W, 215.00 W, 34 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:22:14.965, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 36, 13.63 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:14.978, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.27 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:14.990, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 34, 23.14 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:20.005, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 74 %, 8192 MiB, 2406 MiB, 5384 MiB, 74, 168.49 W, 215.00 W, 34 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:22:20.012, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 36, 13.52 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:20.026, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.39 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:20.038, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 34, 22.98 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:25.051, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 72 %, 8192 MiB, 2406 MiB, 5384 MiB, 74, 163.24 W, 215.00 W, 34 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:22:25.061, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 36, 13.26 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:25.073, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.38 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:25.086, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 34, 23.21 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:30.098, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 72 %, 8192 MiB, 2406 MiB, 5384 MiB, 74, 165.90 W, 215.00 W, 34 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:22:30.106, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 36, 12.98 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:30.119, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.27 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:30.132, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 34, 23.22 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:35.145, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 72 %, 8192 MiB, 2406 MiB, 5384 MiB, 74, 163.55 W, 215.00 W, 34 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:22:35.154, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 36, 13.47 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:35.167, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.54 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
