=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/16 12:31:59.839, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 13.91 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:31:59.859, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 17.60 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:31:59.880, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.81 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:31:59.898, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.20 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:04.917, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 14.02 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:04.931, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 17.22 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:04.944, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.70 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:04.957, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.62 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:09.971, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 28, 40.94 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/16 12:32:09.978, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 17.08 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:09.991, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.65 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
