=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/16 12:31:59.818, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 6192 MiB, 1598 MiB, 30, 9.80 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:31:59.835, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 4 MiB, 7786 MiB, 29, 7.26 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:31:59.855, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 4 MiB, 7786 MiB, 30, 9.91 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:31:59.874, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 4 MiB, 7784 MiB, 33, 12.83 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:04.892, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 6192 MiB, 1598 MiB, 30, 9.76 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:04.903, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 4 MiB, 7786 MiB, 29, 7.20 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:04.916, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 4 MiB, 7786 MiB, 30, 9.82 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:04.929, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 4 MiB, 7784 MiB, 33, 12.49 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:09.941, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 6294 MiB, 1496 MiB, 32, 39.60 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/16 12:32:09.948, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 4 MiB, 7786 MiB, 29, 7.24 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:09.962, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 4 MiB, 7786 MiB, 30, 9.39 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:09.975, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 4 MiB, 7784 MiB, 33, 13.03 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/16 12:32:14.988, NVIDIA GeForce RTX 2070 SUPER, 0, 11 %, 3 %, 8192 MiB, 6400 MiB, 1390 MiB, 33, 47.29 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/16 12:32:14.995, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 4 MiB, 7786 MiB, 29, 6.94 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
