=== GPU Monitoring Started === 
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/22 11:21:09.528, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 9.17 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:09.550, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.12 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:09.569, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.24 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:09.587, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.73 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:14.605, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 10.02 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:14.619, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.19 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:14.633, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.23 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:14.645, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 12.98 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:19.658, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 29, 39.95 W, 215.00 W, 21 %, 1605 MHz, 6801 MHz, P2
2025/07/22 11:21:19.664, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 7.24 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:19.677, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.20 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:19.690, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 12.96 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:24.703, NVIDIA GeForce RTX 2070 SUPER, 0, 63 %, 45 %, 8192 MiB, 470 MiB, 7320 MiB, 35, 117.12 W, 215.00 W, 20 %, 1965 MHz, 6801 MHz, P2
2025/07/22 11:21:24.710, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 6.44 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:24.723, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.19 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:24.736, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.56 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:29.749, NVIDIA GeForce RTX 2070 SUPER, 0, 67 %, 47 %, 8192 MiB, 470 MiB, 7320 MiB, 38, 120.08 W, 215.00 W, 20 %, 1965 MHz, 6801 MHz, P2
2025/07/22 11:21:29.758, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 6.54 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:29.771, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.15 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:29.784, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.38 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:34.797, NVIDIA GeForce RTX 2070 SUPER, 0, 64 %, 45 %, 8192 MiB, 470 MiB, 7320 MiB, 39, 119.92 W, 215.00 W, 21 %, 1950 MHz, 6801 MHz, P2
2025/07/22 11:21:34.805, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 6.43 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:34.817, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 9.98 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:34.830, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.71 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:39.842, NVIDIA GeForce RTX 2070 SUPER, 0, 53 %, 24 %, 8192 MiB, 470 MiB, 7320 MiB, 40, 103.05 W, 215.00 W, 21 %, 1950 MHz, 6801 MHz, P2
2025/07/22 11:21:39.849, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 6.65 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:39.861, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 9.93 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:39.874, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.11 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:44.887, NVIDIA GeForce RTX 2070 SUPER, 0, 55 %, 25 %, 8192 MiB, 470 MiB, 7320 MiB, 41, 103.52 W, 215.00 W, 21 %, 1950 MHz, 6801 MHz, P2
2025/07/22 11:21:44.892, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 6.37 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:44.905, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 9.93 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:44.917, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.65 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:49.930, NVIDIA GeForce RTX 2070 SUPER, 0, 57 %, 26 %, 8192 MiB, 470 MiB, 7320 MiB, 42, 103.90 W, 215.00 W, 22 %, 1950 MHz, 6801 MHz, P2
2025/07/22 11:21:49.936, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 6.30 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:49.949, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.26 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:49.961, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.58 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:54.974, NVIDIA GeForce RTX 2070 SUPER, 0, 56 %, 25 %, 8192 MiB, 470 MiB, 7320 MiB, 44, 104.50 W, 215.00 W, 22 %, 1950 MHz, 6801 MHz, P2
2025/07/22 11:21:54.982, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 6.41 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:54.994, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.18 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:55.007, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.67 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:00.020, NVIDIA GeForce RTX 2070 SUPER, 0, 56 %, 25 %, 8192 MiB, 470 MiB, 7320 MiB, 42, 53.58 W, 215.00 W, 23 %, 1935 MHz, 6801 MHz, P2
2025/07/22 11:22:00.025, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.12 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:00.038, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.13 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:00.051, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.30 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:05.064, NVIDIA GeForce RTX 2070 SUPER, 0, 64 %, 45 %, 8192 MiB, 472 MiB, 7318 MiB, 46, 121.57 W, 215.00 W, 23 %, 1935 MHz, 6801 MHz, P2
