=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/17 10:29:03.997, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 7.43 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:04.017, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.34 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:04.037, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.72 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:04.055, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 32, 21.58 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:09.072, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 7.30 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:09.087, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.00 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:09.100, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.43 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:09.112, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 32, 21.50 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:14.124, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 126 MiB, 7664 MiB, 27, 32.32 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:14.131, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.10 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:14.144, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.79 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:14.158, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 32, 21.50 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:19.170, NVIDIA GeForce RTX 2070 SUPER, 0, 27 %, 13 %, 8192 MiB, 314 MiB, 7476 MiB, 29, 51.26 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:19.177, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.22 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:19.190, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.07 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:19.203, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 32, 21.68 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:24.215, NVIDIA GeForce RTX 2070 SUPER, 0, 34 %, 16 %, 8192 MiB, 314 MiB, 7476 MiB, 30, 51.51 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:24.222, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.15 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:24.235, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.21 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:24.248, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 32, 21.72 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:29.260, NVIDIA GeForce RTX 2070 SUPER, 0, 37 %, 17 %, 8192 MiB, 314 MiB, 7476 MiB, 31, 52.08 W, 215.00 W, 20 %, 1665 MHz, 6801 MHz, P2
2025/07/17 10:29:29.267, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.11 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:29.280, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.16 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:29.293, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 32, 21.56 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:34.305, NVIDIA GeForce RTX 2070 SUPER, 0, 36 %, 17 %, 8192 MiB, 314 MiB, 7476 MiB, 31, 51.01 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:34.313, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.05 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:34.326, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.18 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:34.339, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 32, 21.74 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:39.351, NVIDIA GeForce RTX 2070 SUPER, 0, 36 %, 17 %, 8192 MiB, 314 MiB, 7476 MiB, 32, 53.62 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:39.358, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.16 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:39.372, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.33 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:39.385, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 32, 21.64 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:44.397, NVIDIA GeForce RTX 2070 SUPER, 0, 36 %, 16 %, 8192 MiB, 314 MiB, 7476 MiB, 32, 52.34 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:44.404, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.01 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:44.418, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 10.87 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:44.430, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 32, 21.65 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:49.443, NVIDIA GeForce RTX 2070 SUPER, 0, 37 %, 17 %, 8192 MiB, 314 MiB, 7476 MiB, 33, 51.23 W, 215.00 W, 20 %, 1635 MHz, 6801 MHz, P2
2025/07/17 10:29:49.450, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.17 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:49.463, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 10.91 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:49.476, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 32, 21.72 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:54.488, NVIDIA GeForce RTX 2070 SUPER, 0, 35 %, 16 %, 8192 MiB, 314 MiB, 7476 MiB, 33, 50.72 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:54.494, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 12.23 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
