=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/17 10:29:03.834, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 25, 16.58 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:03.854, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.54 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:03.873, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 10.97 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:03.891, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7785 MiB, 30, 15.44 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:08.910, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 25, 16.39 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:08.924, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.55 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:08.936, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 10.71 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:08.949, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7785 MiB, 30, 15.43 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:13.962, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 26, 42.19 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:13.969, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 11.88 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
