=== GPU Monitoring Started === 
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/23 08:42:03.845, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 14.22 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/23 08:42:03.865, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 17.14 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/23 08:42:03.885, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 7.88 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/23 08:42:03.905, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.72 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/23 08:42:08.923, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 13.75 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/23 08:42:08.938, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.99 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/23 08:42:08.952, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 28, 7.87 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/23 08:42:08.965, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.01 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/23 08:42:13.979, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 28, 41.12 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/23 08:42:13.985, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.95 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
