=== GPU Monitoring Started === 
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/22 11:21:09.311, NVIDIA GeForce RTX 2070 SUPER, 0, 98 %, 83 %, 8192 MiB, 4064 MiB, 3726 MiB, 75, 177.48 W, 215.00 W, 35 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:09.323, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 14.19 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:09.342, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.84 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:09.360, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.61 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:14.378, NVIDIA GeForce RTX 2070 SUPER, 0, 99 %, 83 %, 8192 MiB, 4064 MiB, 3726 MiB, 74, 172.79 W, 215.00 W, 35 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:14.386, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 14.49 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:14.399, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.73 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:14.412, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.97 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:19.424, NVIDIA GeForce RTX 2070 SUPER, 0, 99 %, 83 %, 8192 MiB, 4166 MiB, 3624 MiB, 75, 171.66 W, 215.00 W, 35 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:19.435, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 13.87 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:19.448, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.61 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:19.461, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.71 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:24.474, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 79 %, 8192 MiB, 4590 MiB, 3200 MiB, 75, 181.19 W, 215.00 W, 35 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:24.484, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 13.72 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:24.497, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.70 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:24.510, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.79 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:29.522, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 79 %, 8192 MiB, 4590 MiB, 3200 MiB, 75, 181.26 W, 215.00 W, 35 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:29.531, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 13.42 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:29.544, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.75 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:29.557, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.76 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:34.569, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 79 %, 8192 MiB, 4590 MiB, 3200 MiB, 76, 188.71 W, 215.00 W, 35 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:34.579, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 13.71 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:34.592, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.60 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:34.605, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.69 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:39.617, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 79 %, 8192 MiB, 4590 MiB, 3200 MiB, 76, 182.67 W, 215.00 W, 35 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:39.625, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 13.90 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:39.637, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.65 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:39.650, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.63 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:44.662, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 79 %, 8192 MiB, 4590 MiB, 3200 MiB, 76, 182.62 W, 215.00 W, 35 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:44.669, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 13.50 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:44.683, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.68 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:44.695, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.54 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:49.708, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 79 %, 8192 MiB, 4590 MiB, 3200 MiB, 76, 182.86 W, 215.00 W, 35 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:49.716, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 13.89 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:49.729, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.84 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:49.741, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.69 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:54.753, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 79 %, 8192 MiB, 4590 MiB, 3200 MiB, 76, 184.50 W, 215.00 W, 35 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:54.762, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 13.67 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:54.775, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.86 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:54.787, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.74 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:59.800, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 79 %, 8192 MiB, 4590 MiB, 3200 MiB, 76, 189.24 W, 215.00 W, 35 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:21:59.809, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 13.88 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:59.822, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.74 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:21:59.834, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.62 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:04.847, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 78 %, 8192 MiB, 4590 MiB, 3200 MiB, 76, 188.19 W, 215.00 W, 35 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:22:04.857, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 13.70 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:04.871, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.70 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:04.883, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.74 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:09.895, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 78 %, 8192 MiB, 4590 MiB, 3200 MiB, 76, 184.33 W, 215.00 W, 35 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:22:09.903, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 14.02 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:09.916, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.73 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:09.928, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.62 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:14.941, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 79 %, 8192 MiB, 4590 MiB, 3200 MiB, 76, 186.60 W, 215.00 W, 35 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:22:14.950, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 13.80 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:14.963, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.75 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:14.976, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.85 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:19.988, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 79 %, 8192 MiB, 4590 MiB, 3200 MiB, 77, 183.56 W, 215.00 W, 35 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:22:19.996, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 13.66 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:20.009, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.81 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:20.021, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.46 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:25.034, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 78 %, 8192 MiB, 4590 MiB, 3200 MiB, 77, 188.18 W, 215.00 W, 35 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:22:25.045, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 13.78 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:25.057, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.77 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:25.069, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.53 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:30.082, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 78 %, 8192 MiB, 4590 MiB, 3200 MiB, 77, 177.11 W, 215.00 W, 35 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:22:30.093, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 13.80 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:30.106, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.69 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:30.118, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.46 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:35.131, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 79 %, 8192 MiB, 4590 MiB, 3200 MiB, 77, 184.37 W, 215.00 W, 35 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:22:35.139, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 13.62 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:35.152, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.63 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:35.165, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.57 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:40.177, NVIDIA GeForce RTX 2070 SUPER, 0, 100 %, 78 %, 8192 MiB, 4590 MiB, 3200 MiB, 77, 187.04 W, 215.00 W, 35 %, 1890 MHz, 6801 MHz, P2
2025/07/22 11:22:40.187, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 37, 13.33 W, 215.00 W, 21 %, 300 MHz, 405 MHz, P8
2025/07/22 11:22:40.200, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 7.84 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
