=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/17 10:29:03.963, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 13.67 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:03.984, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.95 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:04.003, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.75 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:04.021, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.03 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:09.039, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 26, 13.62 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:09.053, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 17.07 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:09.066, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.61 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:09.079, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.89 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:14.092, NVIDIA GeForce RTX 2070 SUPER, 0, 1 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 28, 40.90 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:14.098, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.87 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:14.112, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.50 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:14.125, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 11.49 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:19.139, NVIDIA GeForce RTX 2070 SUPER, 0, 6 %, 2 %, 8192 MiB, 262 MiB, 7528 MiB, 29, 48.31 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:19.148, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.59 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:19.161, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.48 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:19.174, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.48 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:24.186, NVIDIA GeForce RTX 2070 SUPER, 0, 23 %, 6 %, 8192 MiB, 262 MiB, 7528 MiB, 30, 48.12 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:24.193, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.81 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:24.206, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.55 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:24.219, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.50 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:29.232, NVIDIA GeForce RTX 2070 SUPER, 0, 23 %, 6 %, 8192 MiB, 262 MiB, 7528 MiB, 31, 48.40 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:29.239, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.62 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:29.253, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.60 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:29.266, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 12.62 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:34.279, NVIDIA GeForce RTX 2070 SUPER, 0, 22 %, 6 %, 8192 MiB, 262 MiB, 7528 MiB, 31, 47.90 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:34.286, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 16.62 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
