=== GPU监控启动 ===
timestamp, name, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, power.draw [W], power.limit [W], fan.speed [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate
2025/07/17 10:29:03.996, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 10.39 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:04.016, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.17 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:04.035, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.38 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:04.053, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 12.65 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:09.070, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 27, 10.16 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:09.085, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.22 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:09.098, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 9.75 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:09.110, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.16 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:14.123, NVIDIA GeForce RTX 2070 SUPER, 0, 0 %, 0 %, 8192 MiB, 106 MiB, 7684 MiB, 29, 40.30 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:14.130, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 7.06 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:14.143, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 9.88 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:14.156, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.01 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:19.170, NVIDIA GeForce RTX 2070 SUPER, 0, 21 %, 7 %, 8192 MiB, 232 MiB, 7558 MiB, 30, 52.93 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:19.177, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 6.69 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:19.190, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.57 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:19.203, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 12.93 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:24.215, NVIDIA GeForce RTX 2070 SUPER, 0, 31 %, 11 %, 8192 MiB, 232 MiB, 7558 MiB, 31, 53.37 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:24.222, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 6.79 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:24.235, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.34 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:24.248, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 12.96 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:29.261, NVIDIA GeForce RTX 2070 SUPER, 0, 31 %, 11 %, 8192 MiB, 232 MiB, 7558 MiB, 32, 52.76 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:29.267, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 6.72 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:29.280, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.51 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:29.292, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 12.79 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:34.305, NVIDIA GeForce RTX 2070 SUPER, 0, 31 %, 11 %, 8192 MiB, 232 MiB, 7558 MiB, 32, 52.98 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:34.311, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 6.82 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:34.324, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.01 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:34.337, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 12.98 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:39.349, NVIDIA GeForce RTX 2070 SUPER, 0, 29 %, 10 %, 8192 MiB, 232 MiB, 7558 MiB, 33, 53.08 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:39.355, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 6.83 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:39.368, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.13 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:39.380, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 12.70 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:44.393, NVIDIA GeForce RTX 2070 SUPER, 0, 30 %, 10 %, 8192 MiB, 232 MiB, 7558 MiB, 34, 51.55 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:44.399, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 6.78 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:44.412, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.19 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:44.424, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.04 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:49.436, NVIDIA GeForce RTX 2070 SUPER, 0, 30 %, 10 %, 8192 MiB, 232 MiB, 7558 MiB, 34, 53.26 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:49.443, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 6.77 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:49.456, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.36 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:49.468, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 12.91 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:54.481, NVIDIA GeForce RTX 2070 SUPER, 0, 32 %, 11 %, 8192 MiB, 232 MiB, 7558 MiB, 35, 53.02 W, 215.00 W, 20 %, 1605 MHz, 6801 MHz, P2
2025/07/17 10:29:54.488, NVIDIA GeForce RTX 2070 SUPER, 1, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 29, 6.77 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:54.501, NVIDIA GeForce RTX 2070 SUPER, 2, 0 %, 0 %, 8192 MiB, 1 MiB, 7789 MiB, 30, 10.22 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
2025/07/17 10:29:54.513, NVIDIA GeForce RTX 2070 SUPER, 3, 0 %, 0 %, 8192 MiB, 1 MiB, 7787 MiB, 33, 13.14 W, 215.00 W, 20 %, 300 MHz, 405 MHz, P8
