Dataset,Model,Accuracy,Precision,Recall,F-score,Train Time (s)
MSL,Autoformer,0.9654,0.9064,0.7497,0.8206,367
MSL,DACAD,0.9657,0.9073,0.7512,0.8219,177
MSL,Fourier_Transformer,0.9656,0.907,0.7509,0.8216,1228
MSL,OmniAnomaly,0.9598,0.8921,0.7039,0.7869,243
MSL,TimesNet,0.9633,0.8878,0.7463,0.8109,704
MSL,TranAD,0.9642,0.8916,0.7521,0.816,467
MSL,Transformer,0.9653,0.9061,0.7486,0.8198,225
SMAP,Autoformer,0.9357,0.8981,0.5607,0.6904,1147
SMAP,DACAD,0.9348,0.8987,0.5528,0.6845,857
SMAP,Fourier_Transformer,0.9363,0.9002,0.5648,0.6941,3619
SMAP,OmniAnomaly,0.9359,0.9101,0.5532,0.6881,629
SMAP,TimesNet,0.9349,0.8987,0.5539,0.6854,2865
SMAP,TranAD,0.9348,0.8983,0.5533,0.6848,1410
SMAP,Transformer,0.9354,0.8972,0.5592,0.6889,700
SMD,Autoformer,0.9781,0.7849,0.6524,0.7125,59
SMD,DACAD,0.978,0.7829,0.6504,0.7105,38
SMD,Fourier_Transformer,0.98,0.7231,0.841,0.7776,130
SMD,OmniAnomaly,0.978,0.7833,0.6506,0.7108,46
SMD,TimesNet,0.9863,0.8811,0.7753,0.8248,111
SMD,TranAD,0.9865,0.869,0.7961,0.831,54
SMD,Transformer,0.9781,0.7845,0.6525,0.7124,45
SWAT,Autoformer,0.9583,0.9995,0.6568,0.7927,2492
SWAT,DACAD,0.9628,0.9955,0.6969,0.8199,1408
SWAT,Fourier_Transformer,0.9583,0.999,0.6568,0.7925,9778
SWAT,OmniAnomaly,0.9704,0.9811,0.7706,0.8632,1682
SWAT,TimesNet,0.9826,0.9213,0.9362,0.9287,8696
SWAT,TranAD,0.9827,0.9248,0.9338,0.9292,4803
SWAT,Transformer,0.9621,0.9958,0.6903,0.8154,1743
