Model,Peak Memory (MiB),Avg Memory (MiB),Max GPU Util (%),Avg GPU Util (%)
Autoformer,326.0,235.83561643835617,31.0,16.904109589041095
DACAD,216.0,191.58333333333334,30.0,16.194444444444443
Fourier_Transformer,2010.0,767.8770491803278,71.0,56.81147540983606
OmniAnomaly,302.0,278.14285714285717,33.0,20.877551020408163
TimesNet,320.0,286.45714285714286,95.0,76.10714285714286
TranAD,400.0,361.6774193548387,96.0,73.35483870967742
Transformer,494.0,435.77777777777777,68.0,34.422222222222224
ModernTCN,228.0,218.45454545454547,63.0,37.86363636363637
CATCH,3370.0,2056.7,98.0,87.14615384615385
StreamDaD,556.0,491.68,64.0,38.58
