timestamp,memory_used,gpu_util,time_sec
2025-07-16 12:24:55.433,1.0,0.0,0.0
2025-07-16 12:25:00.512,1.0,0.0,5.079
2025-07-16 12:25:05.566,14.0,0.0,10.133
2025-07-16 12:25:10.630,242.0,9.0,15.197
2025-07-16 12:25:15.676,242.0,11.0,20.243
2025-07-16 12:25:20.722,242.0,3.0,25.289
2025-07-16 12:25:25.768,242.0,12.0,30.335
2025-07-16 12:25:30.815,242.0,10.0,35.382
2025-07-16 12:25:35.860,242.0,11.0,40.427
2025-07-16 12:25:40.907,242.0,10.0,45.474
2025-07-16 12:25:45.954,242.0,19.0,50.521
2025-07-16 12:25:50.999,196.0,11.0,55.566
