timestamp,memory_used,gpu_util,time_sec
2025-07-22 09:47:38.495,1.0,0.0,0.0
2025-07-22 09:47:43.567,1.0,0.0,5.072
2025-07-22 09:47:48.617,108.0,1.0,10.122
2025-07-22 09:47:53.662,1276.0,32.0,15.167
2025-07-22 09:47:58.704,1276.0,44.0,20.209
2025-07-22 09:48:03.746,1276.0,48.0,25.251
2025-07-22 09:48:08.790,1276.0,88.0,30.295
2025-07-22 09:48:13.831,1276.0,95.0,35.336
2025-07-22 09:48:18.877,1276.0,94.0,40.382
2025-07-22 09:48:23.921,1276.0,94.0,45.426
2025-07-22 09:48:28.963,1276.0,95.0,50.468
2025-07-22 09:48:34.007,1276.0,81.0,55.512
2025-07-22 09:48:39.053,1276.0,57.0,60.558
2025-07-22 09:48:44.095,1276.0,45.0,65.6
2025-07-22 09:48:49.138,1276.0,37.0,70.643
2025-07-22 09:48:54.180,188.0,3.0,75.685
