Model,Peak Memory (MiB),Avg Memory (MiB),Max GPU Util (%),Avg GPU Util (%)
Autoformer,242.0,179.0,19.0,8.0
DACAD,6382.0,6322.5,20.0,7.25
Fourier_Transformer,2004.0,667.7692307692307,67.0,44.15384615384615
OmniAnomaly,296.0,190.5,17.0,7.2
TimesNet,484.0,393.45454545454544,97.0,67.5909090909091
TranAD,382.0,274.72727272727275,95.0,64.36363636363636
Transformer,470.0,325.3333333333333,45.0,11.666666666666666
ModernTCN,180.0,114.33333333333333,39.0,15.222222222222221
CATCH,1276.0,975.625,95.0,50.875
StreamDaD,516.0,382.3333333333333,48.0,18.0
