Model,Peak Memory (MiB),Avg Memory (MiB),Max GPU Util (%),Avg GPU Util (%)
Autoformer,346.0,278.52104208416836,36.0,21.727454909819638
DACAD,256.0,248.8967741935484,41.0,26.22258064516129
Fourier_Transformer,7786.0,642.0008506009984,100.0,19.07637281423432
OmniAnomaly,338.0,331.50656167979,46.0,29.451443569553806
TimesNet,7786.0,541.4141568588943,100.0,19.104422966319245
TranAD,7686.0,493.85460836382794,100.0,11.496860360809329
Transformer,534.0,506.3930131004367,67.0,48.1768558951965
ModernTCN,4322.0,4319.117794486216,99.0,97.81453634085213
CATCH,810.0,349.3627760252366,50.0,40.11735015772871
StreamDaD,4618.0,4587.585014409222,100.0,99.13544668587896
