Dataset,Model,Epoch,Train Loss,Validation Loss,Test Loss
MSL,Autoformer,1,0.7888637,0.5983003,2.3709567
MSL,Autoformer,2,0.6287533,0.5423828,2.315881
MSL,Autoformer,3,0.6010351,0.5325891,2.3058672
MSL,Autoformer,4,0.5927634,0.5260262,2.3009508
MSL,Autoformer,5,0.5885232,0.5225022,2.2983148
MSL,Autoformer,6,0.5862985,0.5223896,2.2968929
MSL,Autoformer,7,0.5851632,0.521167,2.2961395
MSL,Autoformer,8,0.5844662,0.5212604,2.2957389
MSL,Autoformer,9,0.5841447,0.5209675,2.2955279
MSL,Autoformer,10,0.5839074,0.5202101,2.2954187
MSL,Autoformer,11,0.5838472,0.520943,2.2953634
MSL,Autoformer,12,0.583817,0.5195754,2.2953348
MSL,Autoformer,13,0.583805,0.5197337,2.29532
MSL,Autoformer,14,0.5839179,0.5204753,2.2953119
MSL,Autoformer,15,0.5837842,0.5198959,2.2953086
MSL,DACAD,1,0.6140158,0.5528325,2.5521069
MSL,DACAD,2,0.5902211,0.5103022,2.3822429
MSL,DACAD,3,0.5541858,0.4740637,2.2962904
MSL,DACAD,4,0.5298662,0.4611966,2.2553747
MSL,DACAD,5,0.5191336,0.4537504,2.2363644
MSL,DACAD,6,0.5144574,0.4516521,2.2274952
MSL,DACAD,7,0.5124663,0.4496544,2.2230787
MSL,DACAD,8,0.5114114,0.4492911,2.220912
MSL,DACAD,9,0.510965,0.4475638,2.2198119
MSL,DACAD,10,0.5105689,0.4489266,2.2192554
MSL,DACAD,11,0.5104854,0.4478295,2.2189782
MSL,DACAD,12,0.5106642,0.4483232,2.2188377
MSL,Fourier_Transformer,1,0.7751917,0.5607743,2.3169394
MSL,Fourier_Transformer,2,0.6526209,0.5387145,2.2968314
MSL,Fourier_Transformer,3,0.6276824,0.5338678,2.2914007
MSL,Fourier_Transformer,4,0.6183073,0.5295215,2.2873929
MSL,Fourier_Transformer,5,0.6142102,0.5286145,2.2854128
MSL,Fourier_Transformer,6,0.612342,0.5276278,2.2843199
MSL,Fourier_Transformer,7,0.6088069,0.5267687,2.2836921
MSL,Fourier_Transformer,8,0.610093,0.5271162,2.2834158
MSL,Fourier_Transformer,9,0.6082299,0.5262263,2.2832389
MSL,Fourier_Transformer,10,0.6111,0.5267914,2.28316
MSL,Fourier_Transformer,11,0.6082666,0.5258625,2.2831144
MSL,Fourier_Transformer,12,0.6085695,0.5265408,2.2830915
MSL,Fourier_Transformer,13,0.6098871,0.5284577,2.2830815
MSL,Fourier_Transformer,14,0.6079809,0.524974,2.2830756
MSL,Fourier_Transformer,15,0.6082477,0.5268512,2.2830727
MSL,Fourier_Transformer,16,0.6107952,0.5273077,2.2830725
MSL,Fourier_Transformer,17,0.6076707,0.5267372,2.2830722
MSL,OmniAnomaly,1,0.6036243,0.5434501,2.2217233
MSL,OmniAnomaly,2,0.5697558,0.4557103,2.0192308
MSL,OmniAnomaly,3,0.4757529,0.3536901,1.8655512
MSL,OmniAnomaly,4,0.4190146,0.3302468,1.8252034
MSL,OmniAnomaly,5,0.401179,0.3229789,1.8124948
MSL,OmniAnomaly,6,0.3936823,0.3204036,1.8093588
MSL,OmniAnomaly,7,0.3901291,0.3193914,1.8081336
MSL,OmniAnomaly,8,0.38848,0.3179016,1.8077747
