Dataset,Model,Epoch,Train Loss,Validation Loss,Test Loss
SMAP,Autoformer,1,1.0206602,0.4511455,0.8721433
SMAP,Autoformer,2,0.8380812,0.3844851,0.8017361
SMAP,Autoformer,3,0.7714014,0.355485,0.7710074
SMAP,Autoformer,4,0.7417606,0.3423296,0.7566935
SMAP,Autoformer,5,0.7278274,0.3349797,0.7497581
SMAP,Autoformer,6,0.7207382,0.3324094,0.7463365
SMAP,Autoformer,7,0.7172986,0.3302376,0.7446324
SMAP,Autoformer,8,0.7157168,0.3301238,0.7437961
SMAP,Autoformer,9,0.7149422,0.3291048,0.7433852
SMAP,Autoformer,10,0.7144005,0.3293436,0.7431813
SMAP,Autoformer,11,0.7142026,0.3290928,0.7430734
SMAP,Autoformer,12,0.7139623,0.3291648,0.7430227
SMAP,Autoformer,13,0.7141006,0.3287909,0.7429963
SMAP,Autoformer,14,0.7139521,0.3292509,0.7429848
SMAP,Autoformer,15,0.7140012,0.3295393,0.7429819
SMAP,Autoformer,16,0.7139226,0.3293,0.7429836
SMAP,DACAD,1,0.8260375,0.2896788,0.6810073
SMAP,DACAD,2,0.4711872,0.1713239,0.7477488
SMAP,DACAD,3,0.3479389,0.1394718,0.7078196
SMAP,DACAD,4,0.3067214,0.1242095,0.6890901
SMAP,DACAD,5,0.2884305,0.1170516,0.6749752
SMAP,DACAD,6,0.2796725,0.1141225,0.6733213
SMAP,DACAD,7,0.2753542,0.112791,0.6688811
SMAP,DACAD,8,0.2731628,0.1118136,0.6685044
SMAP,DACAD,9,0.2731391,0.1115061,0.6674492
SMAP,DACAD,10,0.271586,0.1113536,0.6664102
SMAP,DACAD,11,0.2720149,0.111355,0.6665058
SMAP,DACAD,12,0.2721751,0.1112408,0.6664984
SMAP,DACAD,13,0.2711101,0.1112669,0.6665376
SMAP,DACAD,14,0.2713254,0.1111418,0.6665387
SMAP,DACAD,15,0.2712762,0.1111358,0.666519
SMAP,DACAD,16,0.2713328,0.1112172,0.6665096
SMAP,DACAD,17,0.272045,0.1110758,0.666507
SMAP,DACAD,18,0.2711346,0.1111164,0.6665067
SMAP,DACAD,19,0.2710171,0.1111401,0.6665068
SMAP,DACAD,20,0.2710639,0.1110673,0.6665067
SMAP,DACAD,21,0.2710574,0.1111275,0.6665068
SMAP,DACAD,22,0.2716242,0.1110888,0.6665067
SMAP,DACAD,23,0.2716557,0.1111619,0.6665067
SMAP,Fourier_Transformer,1,1.0440557,0.4240573,0.8505313
SMAP,Fourier_Transformer,2,0.8640207,0.343051,0.7693925
SMAP,Fourier_Transformer,3,0.7845517,0.3133794,0.7371927
SMAP,Fourier_Transformer,4,0.7508626,0.2996297,0.7220985
SMAP,Fourier_Transformer,5,0.7344995,0.293218,0.7146505
SMAP,Fourier_Transformer,6,0.7254317,0.2893361,0.7110215
SMAP,Fourier_Transformer,7,0.7215229,0.2878918,0.7091883
SMAP,Fourier_Transformer,8,0.7223676,0.2871058,0.7083284
SMAP,Fourier_Transformer,9,0.7209709,0.2869905,0.7078977
SMAP,Fourier_Transformer,10,0.7194224,0.2864968,0.707675
SMAP,Fourier_Transformer,11,0.7195995,0.2863181,0.7075694
SMAP,Fourier_Transformer,12,0.7179812,0.2858843,0.7075132
SMAP,Fourier_Transformer,13,0.7191981,0.2864222,0.7074885
SMAP,Fourier_Transformer,14,0.719353,0.2861807,0.7074767
SMAP,Fourier_Transformer,15,0.7182062,0.2862722,0.707472
SMAP,OmniAnomaly,1,0.7816824,0.2663843,0.6762426
SMAP,OmniAnomaly,2,0.4227329,0.1552511,0.6837282
SMAP,OmniAnomaly,3,0.2599399,0.1249131,0.6644693
SMAP,OmniAnomaly,4,0.2176211,0.1143011,0.6484172
SMAP,OmniAnomaly,5,0.1998955,0.1085771,0.6443725
SMAP,OmniAnomaly,6,0.1907022,0.1056797,0.6391385
SMAP,OmniAnomaly,7,0.1860184,0.1041591,0.6399472
SMAP,OmniAnomaly,8,0.1836656,0.1034694,0.6381041
SMAP,OmniAnomaly,9,0.1825493,0.1029688,0.6377044
SMAP,OmniAnomaly,10,0.1818197,0.1028904,0.6372827
SMAP,OmniAnomaly,11,0.1814991,0.1026106,0.63721
