Dataset,Model,Epoch,Train Loss,Validation Loss,Test Loss
WADI,Autoformer,1,0.7694398,0.7815007,600.8125
WADI,Autoformer,2,0.7365262,0.7733821,600.7975464
WADI,Autoformer,3,0.7320163,0.7722322,600.802124
WADI,Autoformer,4,0.7307195,0.7716564,600.8015747
WADI,Autoformer,5,0.7301798,0.7715189,600.8014526
WADI,Autoformer,6,0.7299344,0.771257,600.8014526
WADI,Autoformer,7,0.7298107,0.771229,600.8015137
WADI,Autoformer,8,0.7297449,0.7711873,600.8015747
WADI,Autoformer,9,0.7297235,0.7711769,600.8015747
WADI,Autoformer,10,0.72971,0.7710982,600.8015137
WADI,Autoformer,11,0.7297101,0.7711405,600.8015137
WADI,Autoformer,12,0.7296974,0.7711469,600.8015137
WADI,Autoformer,13,0.7297017,0.7711381,600.8015137
WADI,DACAD,1,0.2088147,0.0940891,292.1669312
WADI,DACAD,2,0.0544482,0.0461813,86.6173172
WADI,DACAD,3,0.0362375,0.0350981,54.5824242
WADI,DACAD,4,0.0320206,0.0315175,43.3580093
WADI,DACAD,5,0.0304717,0.0299449,37.8583221
WADI,DACAD,6,0.0297539,0.0293811,35.3917809
WADI,DACAD,7,0.0294394,0.0291387,34.1759872
WADI,DACAD,8,0.0292425,0.0290063,33.5505676
WADI,DACAD,9,0.0291798,0.0289346,33.2413292
WADI,DACAD,10,0.0291247,0.0288848,33.0866661
WADI,DACAD,11,0.0291054,0.0288616,32.9993744
WADI,DACAD,12,0.0291062,0.0288706,32.9792519
WADI,DACAD,13,0.029106,0.0288685,32.9720573
WADI,DACAD,14,0.0290808,0.0288623,32.9713936
WADI,Fourier_Transformer,1,0.511569,0.404802,597.6661987
WADI,Fourier_Transformer,2,0.3536547,0.3451882,598.875
WADI,Fourier_Transformer,3,0.326509,0.3327719,598.7412109
WADI,Fourier_Transformer,4,0.3199166,0.3263839,598.5532837
WADI,Fourier_Transformer,5,0.3170438,0.3230867,598.4534912
WADI,Fourier_Transformer,6,0.3154644,0.3214338,598.4382935
WADI,Fourier_Transformer,7,0.3146966,0.3204754,598.4307251
WADI,Fourier_Transformer,8,0.3142051,0.3200088,598.4292603
WADI,Fourier_Transformer,9,0.3139877,0.31982,598.4282837
WADI,Fourier_Transformer,10,0.3137728,0.3196824,598.4273682
WADI,Fourier_Transformer,11,0.3140127,0.3196043,598.4273071
WADI,Fourier_Transformer,12,0.3138284,0.3195695,598.4274292
WADI,Fourier_Transformer,13,0.3138583,0.3195498,598.4273071
WADI,Fourier_Transformer,14,0.3137459,0.3195429,598.4273071
WADI,Fourier_Transformer,15,0.3138924,0.3195787,598.4272461
WADI,Fourier_Transformer,16,0.3138582,0.3194904,598.4272461
WADI,Fourier_Transformer,17,0.3138874,0.3195435,598.4272461
WADI,Fourier_Transformer,18,0.313817,0.3195778,598.4272461
WADI,Fourier_Transformer,19,0.3136703,0.319548,598.4272461
WADI,OmniAnomaly,1,0.1962291,0.0711114,248.4104462
WADI,OmniAnomaly,2,0.0439838,0.0338201,187.8259888
WADI,OmniAnomaly,3,0.0281352,0.0252716,149.9754333
WADI,OmniAnomaly,4,0.0239664,0.0234663,129.3383636
WADI,OmniAnomaly,5,0.0227276,0.022747,118.6412354
WADI,OmniAnomaly,6,0.022206,0.0224296,113.3601151
WADI,OmniAnomaly,7,0.0219636,0.0223049,110.7574921
WADI,OmniAnomaly,8,0.0218469,0.0222509,109.4534988
WADI,OmniAnomaly,9,0.0217895,0.0221994,108.7861938
WADI,OmniAnomaly,10,0.0217608,0.0221891,108.4679718
WADI,OmniAnomaly,11,0.0217466,0.0221776,108.2931976
WADI,OmniAnomaly,12,0.0217392,0.0221763,108.2389679
WADI,OmniAnomaly,13,0.0217359,0.0221831,108.2265244
WADI,OmniAnomaly,14,0.0217347,0.0221757,108.2251587
WADI,OmniAnomaly,15,0.0217337,0.0221665,108.2251358
WADI,OmniAnomaly,16,0.0217337,0.0221698,108.2251282
WADI,OmniAnomaly,17,0.0217337,0.0221746,108.2251511
WADI,OmniAnomaly,18,0.0217335,0.0221718,108.2251358
WADI,TimesNet,1,0.0456849,0.0233948,0.0668367
WADI,TimesNet,2,0.0163261,0.0138041,0.0233409
WADI,TimesNet,3,0.0126441,0.0117479,0.0194074
WADI,TimesNet,4,0.0116777,0.0109657,0.0180582
WADI,TimesNet,5,0.0112817,0.0106951,0.0175801
WADI,TimesNet,6,0.011091,0.0105427,0.0175004
WADI,TimesNet,7,0.0109999,0.0104838,0.0172537
WADI,TimesNet,8,0.0109597,0.0104533,0.0172777
WADI,TimesNet,9,0.0109507,0.0104223,0.0172548
WADI,TimesNet,10,0.0109356,0.0104124,0.017236
WADI,TimesNet,11,0.0109239,0.0104086,0.0172349
WADI,TimesNet,12,0.0109197,0.0104091,0.0172269
WADI,TimesNet,13,0.010927,0.0104092,0.0172289
WADI,TimesNet,14,0.0109131,0.0104084,0.0172314
WADI,TimesNet,15,0.0109193,0.0104089,0.0172306
WADI,TimesNet,16,0.0109249,0.0104052,0.0172312
WADI,TimesNet,17,0.0109236,0.0104065,0.0172309
WADI,TimesNet,18,0.0109162,0.010406,0.0172309
WADI,TimesNet,19,0.01092,0.0104047,0.0172309
WADI,TimesNet,20,0.0109269,0.0104065,0.0172309
WADI,TimesNet,21,0.0109226,0.0104065,0.0172309
WADI,TimesNet,22,0.0109241,0.0104068,0.0172309
WADI,TranAD,1,0.0578983,0.0362835,0.0989234
WADI,TranAD,2,0.0254019,0.0213663,0.0712364
WADI,TranAD,3,0.0195039,0.0176536,0.0580902
WADI,TranAD,4,0.0176863,0.0163028,0.0521028
WADI,TranAD,5,0.0169723,0.0156834,0.0498749
WADI,TranAD,6,0.0166474,0.0154534,0.0488831
WADI,TranAD,7,0.0165032,0.0153218,0.0493083
WADI,TranAD,8,0.0164359,0.0152702,0.0490815
WADI,TranAD,9,0.0163864,0.0152463,0.0491317
WADI,TranAD,10,0.0163873,0.0152311,0.0490249
WADI,TranAD,11,0.0163706,0.0152224,0.0490796
WADI,TranAD,12,0.016376,0.0152192,0.0490123
WADI,TranAD,13,0.01637,0.0152156,0.0490066
WADI,TranAD,14,0.0163694,0.0152198,0.0489953
WADI,TranAD,15,0.0163552,0.0152164,0.0489958
WADI,TranAD,16,0.0163625,0.0152156,0.048996
WADI,Transformer,1,0.392641,0.3104057,593.6530762
WADI,Transformer,2,0.2566164,0.2844629,595.3999023
WADI,Transformer,3,0.2466435,0.2806368,595.7390747
WADI,Transformer,4,0.2446495,0.2793412,595.7961426
WADI,Transformer,5,0.2438996,0.2786204,595.857666
WADI,Transformer,6,0.2435696,0.2783592,595.8712158
WADI,Transformer,7,0.2434125,0.2782614,595.8807983
WADI,Transformer,8,0.2433298,0.278151,595.8857422
WADI,Transformer,9,0.2432975,0.2782054,595.8881836
WADI,Transformer,10,0.2432738,0.278123,595.8892822
WADI,Transformer,11,0.243269,0.2781113,595.8898315
WADI,Transformer,12,0.2432646,0.2780767,595.8903198
WADI,Transformer,13,0.2432622,0.2780732,595.8904419
WADI,Transformer,14,0.2432574,0.2780913,595.8904419
WADI,Transformer,15,0.2432584,0.2780965,595.8904419
WADI,Transformer,16,0.2432604,0.2780837,595.8904419
WADI,ModernTCN,1,0.0286639,0.0231565,0.0714558
WADI,ModernTCN,2,0.0181544,0.0203008,0.045777
WADI,ModernTCN,3,0.015698,0.0172326,0.0415507
WADI,ModernTCN,4,0.0147733,0.0165619,0.0364582
WADI,ModernTCN,5,0.0143628,0.0160765,0.037019
WADI,ModernTCN,6,0.0141661,0.0159055,0.0351981
WADI,ModernTCN,7,0.014073,0.0158217,0.0351429
WADI,ModernTCN,8,0.0140222,0.0157794,0.0351231
WADI,ModernTCN,9,0.0139968,0.0157591,0.035007
WADI,ModernTCN,10,0.0139873,0.0157542,0.0350373
WADI,ModernTCN,11,0.0139812,0.0157476,0.0349243
WADI,ModernTCN,12,0.0139775,0.0157545,0.0349896
WADI,ModernTCN,13,0.013975,0.0157487,0.0349552
WADI,ModernTCN,14,0.013973,0.0157483,0.0349662
WADI,CATCH,1,0.1170698,0.0376747,235.4248657
WADI,CATCH,2,0.0254812,0.0221465,116.8832626
WADI,CATCH,3,0.0186986,0.0163876,46.2518082
WADI,CATCH,4,0.0156753,0.0144305,35.4242897
WADI,CATCH,5,0.0148865,0.0140775,31.7187557
WADI,CATCH,6,0.0147533,0.0139311,29.8454361
WADI,CATCH,7,0.0145129,0.0138774,29.2211075
WADI,CATCH,8,0.0147183,0.0138688,28.7968349
WADI,CATCH,9,0.0144903,0.0138545,28.5883427
WADI,CATCH,10,0.0145069,0.0138382,28.5541668
WADI,CATCH,11,0.0145265,0.0138505,28.5571404
WADI,CATCH,12,0.0144861,0.0138355,28.5675125
WADI,CATCH,13,0.0145098,0.0138362,28.5714893
WADI,CATCH,14,0.0144511,0.0138469,28.5728912
WADI,CATCH,15,0.0143682,0.0138416,28.573204
WADI,StreamDaD,1,0.0499717,0.0223816,0.0829523
WADI,StreamDaD,2,0.0169188,0.0129223,0.0341722
WADI,StreamDaD,3,0.0130958,0.0113183,0.0260986
WADI,StreamDaD,4,0.0121347,0.0107566,0.0245569
WADI,StreamDaD,5,0.0117742,0.0105112,0.0247685
WADI,StreamDaD,6,0.011609,0.0104176,0.024243
WADI,StreamDaD,7,0.0115254,0.0103524,0.0235617
WADI,StreamDaD,8,0.0114917,0.0103297,0.0238273
WADI,StreamDaD,9,0.0114805,0.010318,0.02362
WADI,StreamDaD,10,0.0114634,0.0103106,0.0235426
WADI,StreamDaD,11,0.011461,0.0103083,0.0235728
WADI,StreamDaD,12,0.0114663,0.0103099,0.023559
WADI,StreamDaD,13,0.0114586,0.0103091,0.0235618
WADI,StreamDaD,14,0.0114527,0.0103041,0.0235623
WADI,StreamDaD,15,0.0114579,0.0103049,0.023562
WADI,StreamDaD,16,0.0114503,0.0103071,0.0235618
WADI,StreamDaD,17,0.0114515,0.0103059,0.0235618
