Model,Accuracy,Precision,Recall,F-score,Train Time (s)
Autoformer,0.9583,0.9995,0.6568,0.7927,2492.0
DACAD,0.9628,0.9955,0.6969,0.8199,1408.0
Fourier_Transformer,0.9583,0.999,0.6568,0.7925,9778.0
OmniAnomaly,0.9704,0.9811,0.7706,0.8632,1682.0
TimesNet,0.9826,0.9213,0.9362,0.9287,8696.0
TranAD,0.9827,0.9248,0.9338,0.9292,4803.0
Transformer,0.9621,0.9958,0.6903,0.8154,1743.0
ModernTCN,0.9828,0.9253,0.9334,0.9293,2256.011
CATCH,0.9658,0.9948,0.7223,0.8369,5633.491
StreamDaD,0.9828,0.9219,0.9373,0.9295,3206.011
