Model,Accuracy,Precision,Recall,F-score,Train Time (s)
Autoformer,0.9135,0.296,0.361,0.3253,2515.0
DACAD,0.9199,0.3246,0.3582,0.3406,1560.0
Fourier_Transformer,0.9072,0.2293,0.2566,0.2422,12918.0
OmniAnomaly,0.9197,0.3247,0.3611,0.3419,1921.0
TimesNet,0.9756,0.8035,0.7639,0.7832,10841.0
TranAD,0.9766,0.8195,0.7633,0.7904,5442.0
Transformer,0.9094,0.2516,0.2878,0.2685,2309.0
ModernTCN,0.9773,0.8052,0.8001,0.8026,4026.0
CATCH,0.9092,0.2583,0.3061,0.2802,7997.789
StreamDaD,0.9791,0.8151,0.8262,0.8206,3499.645
